CPUs,latency
4,4.401381
8,2.195105
12,1.486943
16,1.094913
20,0.896487
24,0.726554
28,0.638693
32,0.544433
36,0.813295
40,0.820949
44,1.005010
48,1.125101
52,0.821422
56,1.722580
60,0.878321
64,0.910182
68,1.192308
72,1.768895
76,1.157382
80,0.888179
84,1.055259
88,0.868649
92,1.571599
96,1.278799
100,1.511296
104,0.880189
108,1.132121
112,1.402623
116,0.966250
120,1.148749
124,3.476143
128,1.366683
132,1.033702
136,1.076740
140,1.653242
144,1.379026
148,2.487939
152,2.315856
156,1.148305
160,1.209875
164,3.916071
168,1.447530
172,1.317107
176,1.768699
180,1.769624
184,2.067777
188,1.463982
192,1.888508
196,1.530433
200,1.900974
204,2.599638
208,2.210243
212,1.846338
216,3.481162
220,1.310077
224,1.425773
228,4.481463
232,3.670873
236,1.593790
240,1.772977
244,1.629327
248,6.849148
252,2.681047
256,1.928373
260,2.544758
264,1.118701
268,2.514789
272,3.657716
276,1.746041
280,1.526073
284,1.472666
288,1.743664
292,1.770766
296,1.443022
300,2.098048
304,1.952633
308,2.104265
312,1.971644
316,2.278930
320,3.741439
324,2.120558
328,1.482703
332,1.210901
336,5.063321
340,1.579025
344,4.637178
348,1.684384
352,1.804529
356,3.060790
360,1.653341
364,1.230549
368,2.052171
372,1.909741
376,2.242734
380,4.237204
384,1.578364
388,5.422292
392,1.686227
396,1.462353
400,1.784911
404,1.741146
408,1.744765
412,2.073931
416,2.058420
420,1.369929
424,1.979062
428,1.658508
432,1.600263
436,1.636773
440,2.055290
444,2.211413
448,2.440167
452,3.035303
456,1.554730
460,2.288142
464,1.510028
468,2.721738
472,2.182375
476,1.289064
480,2.291380
484,2.163457
488,1.531637
492,1.483420
496,4.357935
500,1.682171
504,3.172160
508,1.646873
512,2.554390
