***************************************************************************************************** 
* WARNING: The 2022 software stack is deprecated. Please consider switching to
the latest 2024 * 
* software stack, or the older 2023 software stack. * 
* * 
* If you have any question, please contact us via
http://servicedesk.surfsara.nl. * 
***************************************************************************************************** 
OpenMP parallelism
Running with OMP_NUM_THREADS = 128
CPUS:  128
Starting the program...

Iteration 1; Population 23
Iteration 2; Population 24
Iteration 3; Population 28
Iteration 4; Population 31
Iteration 5; Population 35
Iteration 6; Population 35
Iteration 7; Population 35
Iteration 8; Population 43
Iteration 9; Population 41
Iteration 10; Population 49
Iteration 11; Population 45
Iteration 12; Population 48
Iteration 13; Population 53
Iteration 14; Population 46
Iteration 15; Population 48
Iteration 16; Population 53
Iteration 17; Population 51
Iteration 18; Population 57
Iteration 19; Population 56
Iteration 20; Population 71
Iteration 21; Population 58
Iteration 22; Population 66
Iteration 23; Population 67
Iteration 24; Population 73
Iteration 25; Population 72
Iteration 26; Population 89
Iteration 27; Population 88
Iteration 28; Population 86
Iteration 29; Population 76
Iteration 30; Population 89
Iteration 31; Population 85
Iteration 32; Population 99
Iteration 33; Population 100
Iteration 34; Population 100
Iteration 35; Population 88
Iteration 36; Population 95
Iteration 37; Population 104
Iteration 38; Population 89
Iteration 39; Population 93
Iteration 40; Population 88
Iteration 41; Population 89
Iteration 42; Population 90
Iteration 43; Population 79
Iteration 44; Population 84
Iteration 45; Population 84
Iteration 46; Population 92
Iteration 47; Population 89
Iteration 48; Population 99
Iteration 49; Population 95
Iteration 50; Population 98
Iteration 51; Population 97
Iteration 52; Population 113
Iteration 53; Population 90
Iteration 54; Population 109
Iteration 55; Population 85
Iteration 56; Population 88
Iteration 57; Population 93
Iteration 58; Population 93
Iteration 59; Population 100
Iteration 60; Population 96
Iteration 61; Population 107
Iteration 62; Population 115
Iteration 63; Population 106
Iteration 64; Population 104
Iteration 65; Population 109
Iteration 66; Population 112
Iteration 67; Population 106
Iteration 68; Population 107
Iteration 69; Population 94
Iteration 70; Population 79
Iteration 71; Population 69
Iteration 72; Population 69
Iteration 73; Population 77
Iteration 74; Population 89
Iteration 75; Population 93
Iteration 76; Population 110
Iteration 77; Population 98
Iteration 78; Population 104
Iteration 79; Population 96
Iteration 80; Population 96
Iteration 81; Population 106
Iteration 82; Population 106
Iteration 83; Population 108
Iteration 84; Population 134
Iteration 85; Population 126
Iteration 86; Population 123
Iteration 87; Population 115
Iteration 88; Population 104
Iteration 89; Population 111
Iteration 90; Population 118
Iteration 91; Population 108
Iteration 92; Population 119
Iteration 93; Population 105
Iteration 94; Population 125
Iteration 95; Population 96
Iteration 96; Population 108
Iteration 97; Population 112
Iteration 98; Population 124
Iteration 99; Population 121
Iteration 100; Population 138
Iteration 101; Population 148
Iteration 102; Population 137
Iteration 103; Population 115
Iteration 104; Population 127
Iteration 105; Population 118
Iteration 106; Population 130
Iteration 107; Population 137
Iteration 108; Population 131
